"Dis No","Year","Seq","Glide","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","Disaster Subsubtype","Event Name","Country","ISO","Region","Continent","Location","Origin","Associated Dis","Associated Dis2","OFDA Response","Appeal","Declaration","AID Contribution (000 US$)","Dis Mag Value","Dis Mag Scale","Latitude","Longitude","Local Time","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No Injured","No Affected","No Homeless","Total Affected","Reconstruction Costs ('000 US$)","Reconstruction Costs, Adjusted ('000 US$)","Insured Damages ('000 US$)","Insured Damages, Adjusted ('000 US$)","Total Damages ('000 US$)","Total Damages, Adjusted ('000 US$)","CPI","Adm Level","Admin1 Code","Admin2 Code","Geo Locations"
"2000-0019-BRA","2000","0019","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province), Campos de Jordao city (Campos de Jordao district, Sao Paulo province). Volta Redonda district (Rio de Janeiro province), Barra Mansa district (Rio de Janeiro province), Resende district (Rio de Janeiro province), Pirangucu district (Minas Gerais province), Santa Rita do Sapucai district (Minas Gerais province). ","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","350000","Km2","","","","Paraiba, Tiete, Maracana, Rio Verde","2000","1","1","2000","1","6","26","","","70000","70000","","","","","","","58.84064849175","2","","8467;8555;9902;9956;9961;9985;11089;11543","Barra Mansa, Campos Do Jordao, Pirangucu, Resende, Rio De Janeiro, Santa Rita Do Sapucai, Sao Paulo, Volta Redonda (Adm2). "
"2000-0809-BRA","2000","0809","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Belo Horizonte district (Minas Gerais province), Santos, Guaruja districts (Sao Paulo province), Santa Leopoldina district (Espirito Santo province), Alto Feliz district (Rio Grande do Sul province)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","578300","Km2","","","","","2000","12","17","2000","12","26","13","","2000","","2000","","","","","","","58.84064849175","2","","7192;7936;10160;11192;11523","Alto Feliz, Belo Horizonte, Guaruja, Santa Leopoldina, Santos (Adm2). "
"2000-0590-BRA","2000","0590","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Recife city (Recife district, Pernambuco province), Jaboatao Dos Guararapes, Moreno districts (Pernambuco province)","Heavy rain","","","","","","","3000","Km2","","","","","2000","9","16","2000","9","18","3","","10000","","10000","","","","","","","58.84064849175","2","","9576;9598;9621","Jaboatao Dos Guararapes, Moreno, Recife (Adm2). "
"2000-0666-BRA","2000","0666","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rio Grande Do Sul province","Heavy rain","","","","","","","10250","Km2","","","","","2000","10","12","2000","10","15","6","","5000","","5000","","","","","","","58.84064849175","1","685","","Rio Grande Do Sul (Adm1). "
"2000-0456-BRA","2000","0456","","Natural","Meteorological","Extreme temperature ","Cold wave","","","Brazil","BRA","South America","Americas","Porto Alegre district (Rio Grande Do Sul province)","","","","","","","","-5","°C","","","","","2000","7","","2000","7","","7","","","","","","","","","","","58.84064849175","2","","10455","Porto Alegre (Adm2). "
"2000-0004-BRA","2000","0004","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Pouso Redondo (Etat de Santa Catarina)","","","","","","","","","","","","","","2000","1","12","2000","1","12","42","71","","","71","","","","","","","58.84064849175","","","",""
"2000-0177-BRA","2000","0177","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Miracatu (Sao Paulo state)","","","","","","","","","","","","","","2000","4","3","2000","4","3","17","","","","","","","","","","","58.84064849175","","","",""
"2000-0646-BRA","2000","0646","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Tabosa region","","","","","","","","","","","","","","2000","10","3","2000","10","3","11","35","","","35","","","","","","","58.84064849175","","","",""
"2000-0802-BRA","2000","0802","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Minas Gerais state","","","","","","","","","","","","","","2000","12","17","2000","12","17","10","19","","","19","","","","","","","58.84064849175","","","",""
"2000-0808-BRA","2000","0808","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Recife","","","","","No","No","","","","","","","","2000","12","19","2000","12","19","14","2","","","2","","","","","","","58.84064849175","","","",""
"2000-0820-BRA","2000","0820","","Technological","Technological","Transport accident","Water","","Princesa Amanda","Brazil","BRA","South America","Americas","Solimoes river (near Manaus)","","","","","No","No","","","","","","","","2000","11","25","2000","11","25","29","","54","","54","","","","","","","58.84064849175","","","",""
"2000-0468-BRA","2000","0468","","Technological","Technological","Transport accident","Rail","","","Brazil","BRA","South America","Americas","Sao Paulo","","","","","","","","","","","","","","2000","7","28","2000","7","28","12","110","","","110","","","","","","","58.84064849175","","","",""
"2000-0115-BRA","2000","0115","","Technological","Technological","Industrial accident","Chemical spill","","Petrobas refinery","Brazil","BRA","South America","Americas","Guanabara Bay (Rio de Janeiro)","","","","","","","","","m3","","","","","2000","1","18","2000","1","18","","","","","","","","","","","","58.84064849175","","","",""
"2000-0340-BRA","2000","0340","","Technological","Technological","Miscellaneous accident","Fire","","Garderie d'enfants","Brazil","BRA","South America","Americas","Uruguaiana (Rio Grande state)","","","","","","","","","","","","","","2000","6","20","2000","6","20","12","","","","","","","","","","","58.84064849175","","","",""
"2000-0466-BRA","2000","0466","","Natural","Hydrological","Landslide","Mudslide","","","Brazil","BRA","South America","Americas","Alagoas, Pernambuco provinces","","","","","","","","","","","","","","2000","7","30","2000","8","17","60","","","143000","143000","","","","","75000","127463","58.84064849175","1","666;681","","Alagoas, Pernambuco (Adm1). "
"2001-0110-BRA","2001","0110","","Technological","Technological","Industrial accident","Explosion","","Plate-forme Petrobas","Brazil","BRA","South America","Americas","Campos","","","","","","","","","m3","","","","","2001","3","15","2001","3","15","11","","","","","","","","","","","60.503578885306","","","",""
"2001-0696-BRA","2001","0696","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Petropolis, Paracambi, Duque de Caxias, Belford Roxo, Niteori, Japeri, Bom Jardim districts (Rio de Janeiro province)","Brief torrential rain","Slide (land, mud, snow, rock)","","","","","230","9990","Km2","","","","","2001","12","24","2001","12","25","50","196","1750","","1946","","","","","45000","74376","60.503578885306","2","","9903;9904;9919;9929;9941;9944;9948;9961","Belford Roxo, Bom Jardim, Duque De Caxias, Japeri, Niteroi, Paracambi, Petropolis, Rio De Janeiro (Adm2). "
"2001-0723-BRA","2001","0723","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Jaguare, Rio Banal, Nova Venecia districts (Espirito Santo province), Minas Gerais province","Heavy rain","Slide (land, mud, snow, rock)","","","","Yes","","45210","Km2","","","","","2001","11","19","2001","11","23","12","","","5100","5100","","","","","","","60.503578885306","1;2","677","7169;7183;7190","Minas Gerais (Adm1). Jaguare, Nova Venecia, Rio Bananal (Adm2). "
"2001-0544-BRA","2001","0544","","Natural","Meteorological","Storm","Convective storm","Lightning/Thunderstorms","","Brazil","BRA","South America","Americas","Santa Catarina, Rio Grande do Sul, Sao Paulo, Parana provinces","","","","","","Yes","","","Kph","","","","","2001","9","29","2001","10","4","13","","","3400","3400","","","","","","","60.503578885306","1","680;685;688;689","","Parana, Rio Grande Do Sul, Santa Catarina, Sao Paulo (Adm1). "
"2001-0213-BRA","2001","0213","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Cuiaba district (Mato Grosso province)","Heavy rain","","","","","","","5180","Km2","","","","Cuiba","2001","4","25","2001","4","26","23","","","4000","4000","","","","","","","60.503578885306","2","","7779","Cuiaba (Adm2). "
"2001-0119-BRA","2001","0119","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Minas Gerais state","","","","","","","","","","","","","","2001","3","21","2001","3","21","12","1","","","1","","","","","","","60.503578885306","","","",""
"2001-0785-BRA","2001","0785","","Technological","Technological","Miscellaneous accident","Other","","Football stadium","Brazil","BRA","South America","Americas","Rio de Janeiro","","","","","No","No","","","","","","","","2001","1","","2001","1","","","170","","","170","","","","","","","60.503578885306","","","",""
"2001-9394-BRA","2001","9394","","Natural","Climatological","Drought","Drought","","","Brazil","BRA","South America","Americas","Pernambuco province","","","","","","Yes","","","Km2","","","","","2001","6","","2001","","","","","1000000","","1000000","","","","","","","60.503578885306","1","681","","Pernambuco (Adm1). "
"2001-0638-BRA","2001","0638","","Technological","Technological","Miscellaneous accident","Fire","","Discothèque ""Caneco Mineiro""","Brazil","BRA","South America","Americas","Belo Horizonte (Minas Gerais)","","","","","","","","","","","","","","2001","11","24","2001","11","24","6","341","","","341","","","","","5000","8264","60.503578885306","","","",""
"2002-0082-BRA","2002","0082","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Teofilo Otoni district (Minas Gerais province)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","2250","Km2","","","","Santo Antonio, Todos os Santos rivers","2002","2","3","2002","2","5","17","","","1500","1500","","","","","","","61.463188261191","2","","8676","Teofilo Otoni (Adm2). "
"2002-0403-BRA","2002","0403","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Porto Alegre district (Rio Grande do Sul province)","Heavy rain","Broken Dam/Burst bank","","","","","","18940","Km2","","","","Rio Cai and Rio Sao Sebastiao","2002","6","12","2002","6","19","","","2000","","2000","","","","","","","61.463188261191","2","","10455","Porto Alegre (Adm2). "
"2002-0824-BRA","2002","0824","","Natural","Hydrological","Landslide","Mudslide","","","Brazil","BRA","South America","Americas","Angra Dos Reis district, Rio de Janeiro province","","Flood","","","","","","","","","","","","2002","12","9","2002","12","12","74","","","1500","1500","","","","","11000","17897","61.463188261191","2","","9895","Angra Dos Reis (Adm2). "
"2002-0154-BRA","2002","0154","","Natural","Biological","Epidemic","Viral disease","","Dengue","Brazil","BRA","South America","Americas","Rio de Janeiro state","","","","","No","No","","","Vaccinated","","","","","2002","1","1","2002","4","25","57","","317730","","317730","","","","","","","61.463188261191","","","",""
"2002-0554-BRA","2002","0554","","Technological","Technological","Transport accident","Air","","Embraer 120 Brasilia","Brazil","BRA","South America","Americas","Near Rio Branco (Acre state)","","","","","","","","","","","","","","2002","8","30","2002","8","30","23","8","","","8","","","","","","","61.463188261191","","","",""
"2002-0061-BRA","2002","0061","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Para state","","","","","No","No","","","","","","","","2002","1","31","2002","1","31","12","","","","","","","","","","","61.463188261191","","","",""
"2002-0276-BRA","2002","0276","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Franca region","","","","","","","","","","","","","","2002","5","9","2002","5","9","20","","","","","","","","","","","61.463188261191","","","",""
"2002-0642-BRA","2002","0642","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Sergipe State","","","","","","","","","","","","","","2002","10","6","2002","10","6","27","17","","","17","","","","","","","61.463188261191","","","",""
"2002-0045-BRA","2002","0045","","Technological","Technological","Transport accident","Water","","","Brazil","BRA","South America","Americas","Amapa state coasts","","","","","No","No","","","","","","","","2002","1","26","2002","1","26","33","","","","","","","","","","","61.463188261191","","","",""
"2002-0784-BRA","2002","0784","","Technological","Technological","Transport accident","Water","","Boat ""Sap Luiz""","Brazil","BRA","South America","Americas","Para river (Amazonia, North)","","","","","No","No","","","","","","","","2002","12","18","2002","12","18","44","","","","","","","","","","","61.463188261191","","","",""
"2002-0868-BRA","2002","0868","","Technological","Technological","Miscellaneous accident","Explosion","","Fireworks","Brazil","BRA","South America","Americas","Cruz Das Almas (Bahia)","","","","","","","","","","","","","","2002","6","24","2002","6","24","1","158","","","158","","","","","","","61.463188261191","","","",""
"2002-9605-BRA","2002","9605","","Natural","Climatological","Drought","Drought","","","Brazil","BRA","South America","Americas","Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces","","","","","","Yes","","","Km2","","","","","2002","9","","2002","","","","","","","","","","","","","","61.463188261191","1","677;679;681;682;684","","Minas Gerais, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte (Adm1). "
"2002-0830-BRA","2002","0830","","Natural","Hydrological","Landslide","Mudslide","","","Brazil","BRA","South America","Americas","Teresopolis district (Rio de Janeiro province)","","","","","","","","","","","","","","2002","12","21","2002","12","21","13","","","","","","","","","","","61.463188261191","2","","9979","Teresopolis (Adm2). "
"2003-0028-BRA","2003","0028","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces","Heavy rains","Slide (land, mud, snow, rock)","","Yes","","Yes","","6740","Km2","","","","","2003","1","14","2003","1","24","54","101","","10410","10511","","","","","","","62.858459500041","1","672;677;683;688;689","","Espirito Santo, Minas Gerais, Rio De Janeiro, Santa Catarina, Sao Paulo (Adm1). "
"2003-0036-BRA","2003","0036","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Banabuiu (Ceara state)","","","","","No","No","","","","","","","","2003","1","21","2003","1","21","21","10","","","10","","","","","","","62.858459500041","","","",""
"2003-0154-BRA","2003","0154","","Technological","Technological","Industrial accident","Poisoning","","","Brazil","BRA","South America","Americas","Minas Gerais, Campos (Rio State)","","","","","No","No","","","m3","","","","","2003","4","1","2003","4","1","","","550000","","550000","","","","","","","62.858459500041","","","",""
"2003-0579-BRA","2003","0579","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","","Km2","","","","","2003","11","29","2003","11","29","7","","2000","","2000","","","","","","","62.858459500041","2","","9919;9933;9943;9961;9968;9975","Duque De Caxias, Mage, Nova Iguacu, Rio De Janeiro, Sao Joao De Meriti, Seropedica (Adm2). "
"2003-0673-BRA","2003","0673","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces","Heavy rains","Slide (land, mud, snow, rock)","","Yes","","","","","Km2","","","","","2003","12","","2004","2","19","161","470","","175000","175470","","","","","303000","482035","62.858459500041","1","666;669;670;672;677;681;682;683;689;690","","Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1). "
"2003-0730-BRA","2003","0730","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Belo Horizonte, Contagem, Raposos, Riberao das Neves districts (Minas Gerais province), Rio de Janeiro, Petropolis, Paty de Alferes, Niteroi , Engenheiro Paulo De Frontin districts (Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","75950","Km2","","","","Piabanka","2003","1","11","2003","2","4","29","","16000","","16000","","","","","","","62.858459500041","2","","7936;8076;8498;8507;9920;9941;9947;9948;9961;11543","Belo Horizonte, Contagem, Engenheiro Paulo De Frontin, Niteroi, Paty Do Alferes, Petropolis, Raposos, Ribeirao Das Neves, Rio De Janeiro, Sao Paulo (Adm2). "
"2003-0521-BRA","2003","0521","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rio Grande do Sul province","Heavy rains","","","","","Yes","","73220","Km2","","","","Jacul, Upper Ibicui","2003","10","27","2003","10","31","4","","","2000","2000","","","","","","","62.858459500041","1","685","","Rio Grande Do Sul (Adm1). "
"2003-0409-BRA","2003","0409","","Technological","Technological","Transport accident","Air","","Fusée","Brazil","BRA","South America","Americas","Alcantara","","","","","No","No","","","","","","","","2003","8","22","2003","8","22","21","20","","","20","","","","","","","62.858459500041","","","",""
"2003-0158-BRA","2003","0158","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Campo Mourao","","","","","No","No","","","","","","","","2003","4","4","2003","4","4","22","7","","","7","","","","","","","62.858459500041","","","",""
"2003-0463-BRA","2003","0463","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Brasilia","","","","","No","No","","","","","","","","2003","9","13","2003","9","13","14","73","","","73","","","","","","","62.858459500041","","","",""
"2003-0583-BRA","2003","0583","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Aracaju","","","","","No","No","","","","","","","","2003","12","1","2003","12","1","15","22","","","22","","","","","","","62.858459500041","","","",""
"2003-0606-BRA","2003","0606","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Diamantina (Minas Gerais state)","","","","","No","No","","","","","","","","2003","12","16","2003","12","16","21","41","","","41","","","","","","","62.858459500041","","","",""
"2003-0178-BRA","2003","0178","","Technological","Technological","Transport accident","Water","","","Brazil","BRA","South America","Americas","Near Papagayo Isl. (Rio de Janeiro state)","","","","","No","No","","","","","","","","2003","4","19","2003","4","19","15","","","","","","","","","","","62.858459500041","","","",""
"2003-0445-BRA","2003","0445","","Technological","Technological","Transport accident","Water","","Ferry ""Orlandina""","Brazil","BRA","South America","Americas","Madeira river, near Humaita (Rondonia state)","","","","","No","No","","","","","","","Madeira river","2003","8","16","2003","8","16","28","","42","","42","","","","","","","62.858459500041","","","",""
"2004-0236-BRA","2004","0236","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Maceio district (Alagoas province)","Torrential rains","Slide (land, mud, snow, rock)","","","","Yes","","150","Km2","","","","","2004","6","1","2004","6","2","28","54","","2200","2254","","","","","370","573","64.541329281745","2","","6400","Maceio (Adm2). "
"2004-0131-BRA","2004","0131","","Natural","Meteorological","Storm","Tropical cyclone","","Catarina","Brazil","BRA","South America","Americas","Torres district (Rio Grande do Sul province), Ararangua district (Santa Catarina province)","","Surge","","","","","","150","Kph","","","","","2004","3","27","2004","3","29","4","60","150000","","150060","","","3000","4648","350000","542288","64.541329281745","2","","10574;10704","Ararangua, Torres (Adm2). "
"2004-0317-BRA","2004","0317","","Natural","Hydrological","Flood","Flash flood","","","Brazil","BRA","South America","Americas","Alagoa Grande city (Alagoa Grande district, Paraíba province)","Break/release of dam/levy","","","","","","","150","Km2","","","","Mamanguate","2004","6","17","2004","6","18","7","","3000","","3000","","","","","","","64.541329281745","2","","8869","Alagoa Grande (Adm2). "
"2004-0331-BRA","2004","0331","","Natural","Meteorological","Extreme temperature ","Cold wave","","","Brazil","BRA","South America","Americas","Santa Catarina, Parana provinces","","","","","","","","-7","°C","","","","","2004","7","","2004","7","","","","","","","","","","","","","64.541329281745","1","680;688","","Parana, Santa Catarina (Adm1). "
"2004-0210-BRA","2004","0210","","Technological","Technological","Transport accident","Air","","","Brazil","BRA","South America","Americas","Near Manaus (Amazonia)","","","","","No","No","","","","","","","","2004","5","14","2004","5","14","33","","","","","","","","","","","64.541329281745","","","",""
"2004-0069-BRA","2004","0069","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Barro","","","","","No","No","","","","","","","","2004","2","21","2004","2","21","40","","","","","","","","","","","64.541329281745","","","",""
"2004-0204-BRA","2004","0204","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Parana state","","","","","No","No","","","","","","","","2004","5","11","2004","5","11","12","29","","","29","","","","","","","64.541329281745","","","",""
"2004-0487-BRA","2004","0487","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Erechim","","","","","No","No","","","","","","","","2004","9","22","2004","9","22","14","","","","","","","","","","","64.541329281745","","","",""
